status,product_area,response,justification,request_type
escalated,general,This issue has been escalated to a human support agent due to risk or insufficient information.,"Classified as product_issue, risk=True, context_length=312",product_issue
replied,general,Users facing login issues should clear cache and try again.,"Classified as product_issue, risk=False, context_length=160",product_issue
replied,billing,Refund policy is 30 days.,"Classified as product_issue, risk=False, context_length=317",product_issue
escalated,billing,This issue has been escalated to a human support agent due to risk or insufficient information.,"Classified as product_issue, risk=False, context_length=0",product_issue
replied,billing,Users can contact support for account issues.,"Classified as product_issue, risk=False, context_length=155",product_issue
replied,general,Users can reset password using forgot password option.,"Classified as product_issue, risk=False, context_length=316",product_issue
escalated,technical,This issue has been escalated to a human support agent due to risk or insufficient information.,"Classified as bug, risk=False, context_length=0",bug
replied,general,Contact your bank if your card is stolen or hacked.,"Classified as product_issue, risk=False, context_length=156",product_issue
replied,technical,Users facing login issues should clear cache and try again.,"Classified as bug, risk=False, context_length=316",bug
replied,feature,Contact your bank if your card is stolen or hacked.,"Classified as feature_request, risk=False, context_length=317",feature_request
replied,general,Contact your bank if your card is stolen or hacked.,"Classified as product_issue, risk=False, context_length=312",product_issue
escalated,technical,This issue has been escalated to a human support agent due to risk or insufficient information.,"Classified as bug, risk=False, context_length=0",bug
replied,general,Users can reset password using forgot password option.,"Classified as product_issue, risk=False, context_length=160",product_issue
escalated,general,This issue has been escalated to a human support agent due to risk or insufficient information.,"Classified as product_issue, risk=False, context_length=0",product_issue
replied,technical,Subscriptions are non-refundable after purchase.,"Classified as bug, risk=False, context_length=155",bug
escalated,general,This issue has been escalated to a human support agent due to risk or insufficient information.,"Classified as product_issue, risk=True, context_length=0",product_issue
escalated,general,This issue has been escalated to a human support agent due to risk or insufficient information.,"Classified as product_issue, risk=False, context_length=0",product_issue
replied,general,Users can reset password using forgot password option.,"Classified as product_issue, risk=False, context_length=160",product_issue
escalated,general,This issue has been escalated to a human support agent due to risk or insufficient information.,"Classified as product_issue, risk=False, context_length=0",product_issue
replied,technical,Subscriptions are non-refundable after purchase.,"Classified as bug, risk=False, context_length=155",bug
escalated,general,This issue has been escalated to a human support agent due to risk or insufficient information.,"Classified as product_issue, risk=False, context_length=0",product_issue
escalated,general,This issue has been escalated to a human support agent due to risk or insufficient information.,"Classified as product_issue, risk=True, context_length=156",product_issue
replied,general,Users can contact support for account issues.,"Classified as product_issue, risk=False, context_length=155",product_issue
escalated,general,This issue has been escalated to a human support agent due to risk or insufficient information.,"Classified as product_issue, risk=False, context_length=0",product_issue
escalated,general,This issue has been escalated to a human support agent due to risk or insufficient information.,"Classified as product_issue, risk=True, context_length=0",product_issue
replied,technical,Users facing login issues should clear cache and try again.,"Classified as bug, risk=False, context_length=317",bug
escalated,account,This issue has been escalated to a human support agent due to risk or insufficient information.,"Classified as product_issue, risk=False, context_length=0",product_issue
replied,general,Users can contact support for account issues.,"Classified as product_issue, risk=False, context_length=155",product_issue
replied,general,Contact your bank if your card is stolen or hacked.,"Classified as product_issue, risk=False, context_length=317",product_issue
